task,expert,endpoint,method,seed,ranking,same_checkpoint_control,validation_score25,test_fixed_score25,test_ranked_score25,validation_metric,test_metric,validation_call,test_call,threshold,operator,nominal_budget
cub,glsim,MiniCPM,four_ratio,2026,log_ratio,False,0.9708333333333332,0.8690714532274767,0.879979288919572,0.99,0.8988608905764585,0.02,0.036589575422851225,-2.0773916244506836,ge,0.02
cub,glsim,MiniCPM,four_ratio,2026,probability_difference,True,0.9737499999999999,0.8880566102865033,0.8898343113565758,0.9891666666666666,0.9000690369347601,0.01,0.02312737314463238,-7.376906377420944e-12,ge,0.01
cub,glsim,MiniCPM,four_ratio,2027,log_ratio,False,0.968,0.868519157749396,0.8793924749741111,0.99,0.9000690369347601,0.01,0.024508111839834312,-1.8984746932983398,ge,0.01
cub,glsim,MiniCPM,four_ratio,2027,probability_difference,True,0.9760833333333333,0.8887814981014843,0.8905419399378668,0.9891666666666666,0.9009319986192613,0.01,0.02122885743872972,-6.550278985884006e-09,ge,0.01
cub,glsim,MiniCPM,four_ratio,2028,log_ratio,False,0.97075,0.873524335519503,0.8809630652399034,0.9866666666666667,0.8978253365550569,0.02,0.03779772178115292,-0.5955595970153809,ge,0.02
cub,glsim,MiniCPM,four_ratio,2028,probability_difference,True,0.9741666666666666,0.8867621677597516,0.8893855712806351,0.9858333333333333,0.8983431135657577,0.01,0.02416292716603383,8.301383885855884e-11,ge,0.01
cub,glsim,MiniCPM,four_ratio,2029,log_ratio,False,0.9696666666666667,0.8744218156713842,0.8809975837072834,0.99,0.9002416292716603,0.01,0.02329996548153262,-1.2633552551269531,ge,0.01
cub,glsim,MiniCPM,four_ratio,2029,probability_difference,True,0.9755833333333332,0.8876078702105626,0.8901794960303762,0.99,0.9004142216085605,0.01,0.02002071108042803,-1.0354328952946225e-14,ge,0.01
cub,glsim,MiniCPM,four_ratio,2030,log_ratio,False,0.9710833333333333,0.872851225405592,0.8826372109078356,0.9883333333333333,0.9005868139454608,0.01,0.018467380048325856,2.274503707885742,ge,0.01
cub,glsim,MiniCPM,four_ratio,2030,probability_difference,True,0.9755,0.8858646876078702,0.8894373489817052,0.9891666666666666,0.8986882982395582,0.01,0.02657921988263721,1.9104025028582328e-08,ge,0.01
cub,glsim,MiniCPM,gain,2026,regression,False,0.9782500000000001,0.8915257162581982,0.8927511218501899,0.9891666666666666,0.9011045909561616,0.01,0.017086641353123922,0.06638844311237335,ge,0.01
cub,glsim,MiniCPM,gain,2027,regression,False,0.9786666666666667,0.8915429754918882,0.8931998619261305,0.9891666666666666,0.901449775629962,0.01,0.014670348636520539,0.08822585642337799,ge,0.01
cub,glsim,MiniCPM,gain,2028,regression,False,0.9788333333333333,0.8914566793234381,0.8929582326544702,0.9891666666666666,0.9016223679668622,0.01,0.016396272005522954,0.025555070489645004,ge,0.01
cub,glsim,MiniCPM,gain,2029,regression,False,0.9782500000000001,0.8927338626165,0.8934587504314808,0.9891666666666666,0.9016223679668622,0.01,0.013117017604418364,0.06589554250240326,ge,0.01
cub,glsim,MiniCPM,gain,2030,regression,False,0.9786666666666667,0.8896444597859856,0.8923541594753193,0.9891666666666666,0.9017949603037625,0.01,0.018294787711425613,0.16952542960643768,ge,0.01
cub,glsim,MiniCPM,route,2026,probability,False,0.9014166666666666,0.7645322747670005,0.8499482222989299,0.9841666666666666,0.8935105281325509,0.01,0.0340006903693476,0.006400675512850285,ge,0.01
cub,glsim,MiniCPM,route,2027,probability,False,0.9013333333333333,0.7772868484639283,0.8505868139454609,0.9866666666666667,0.8883327580255437,0.01,0.05108733172247152,0.06703241169452667,ge,0.01
cub,glsim,MiniCPM,route,2028,probability,False,0.9009166666666667,0.7466862271315153,0.8501898515705902,0.9833333333333333,0.890749050742147,0.01,0.04452882292026234,0.020855436101555824,ge,0.01
cub,glsim,MiniCPM,route,2029,probability,False,0.9025,0.7535208836727649,0.8513462202278219,0.985,0.8938557128063513,0.01,0.03313772868484639,0.03475888818502426,ge,0.01
cub,glsim,MiniCPM,route,2030,probability,False,0.90025,0.7312392129789438,0.8492578529513289,0.9841666666666666,0.885053503624439,0.01,0.0505695547117708,0.006442188285291195,ge,0.01
cub,glsim,Qwen3.8,error,2026,probability,False,0.9371666666666667,0.8147911632723508,0.8659647911632724,0.985,0.8917846047635485,0.01,0.04263030721435968,0.0131531385704875,ge,0.01
cub,glsim,Qwen3.8,error,2027,probability,False,0.9338333333333333,0.8157749395926822,0.8658439765274422,0.9858333333333333,0.8966171901967552,0.01,0.035208836727649295,0.01910049468278885,ge,0.01
cub,glsim,Qwen3.8,error,2028,probability,False,0.9361666666666667,0.8180531584397653,0.8659302726958923,0.9841666666666666,0.8948912668277529,0.01,0.035208836727649295,0.22747483849525452,ge,0.01
cub,glsim,Qwen3.8,error,2029,probability,False,0.9345,0.8130997583707283,0.8662236796686227,0.9841666666666666,0.8960994131860546,0.01,0.03676216775975147,0.023573948070406914,ge,0.01
